Date,CPI,US/EGP,Value_Percent,Value_in_M,Dummy_Float,Dummy_COVID,Dummy_Ukraine,Inflation
1995-02-01,35.95,3.391,14.0,149787.0,0,0,0,1.2390875809631163
1995-03-01,35.99,3.389,14.0,150220.0,0,0,0,0.11126564673156203
1995-04-01,36.01,3.392,14.0,151514.0,0,0,0,0.05557099194219983
1995-05-01,36.16,3.393,14.0,153853.0,0,0,0,0.41655095806720777
1995-06-01,36.14,3.395,14.0,156080.0,0,0,0,-0.05530973451326471
1995-07-01,36.18,3.392,14.0,157229.0,0,0,0,0.11068068622024363
1995-08-01,36.78,3.393,14.0,158089.0,0,0,0,1.6583747927031656
1995-09-01,36.89,3.39,14.0,159705.0,0,0,0,0.29907558455681826
1995-10-01,37.24,3.393,14.0,160896.0,0,0,0,0.9487666034155628
1995-11-01,37.79,3.39,13.5,161602.0,0,0,0,1.4769065520945146
1995-12-01,37.98,3.39,13.5,162766.0,0,0,0,0.5027785128340678
1996-01-01,38.03,3.392,13.5,163166.0,0,0,0,0.1316482359136506
1996-02-01,38.23,3.388,13.5,165125.0,0,0,0,0.5259006047856785
1996-03-01,38.39,3.393,13.5,165418.0,0,0,0,0.41851948731363997
1996-04-01,38.69,3.394,13.5,167246.0,0,0,0,0.7814535035165271
1996-05-01,39.07,3.392,13.5,169290.0,0,0,0,0.9821659343499656
1996-06-01,39.14,3.393,13.5,171333.0,0,0,0,0.17916560020476702
1996-07-01,39.53,3.392,13.5,173787.0,0,0,0,0.9964230965763932
1996-08-01,39.57,3.388,13.5,174824.0,0,0,0,0.10118897040223285
1996-09-01,39.76,3.3941,13.5,174893.0,0,0,0,0.4801617386909207
1996-10-01,39.83,3.3942,13.5,177482.0,0,0,0,0.17605633802817433
1996-11-01,39.95,3.388,13.25,178641.0,0,0,0,0.3012804418779824
1996-12-01,40.03,3.388,13.0,180404.0,0,0,0,0.20025031289110373
1997-01-01,40.19,3.39,13.0,181575.0,0,0,0,0.39970022483137857
1997-02-01,40.29,3.389,13.0,182842.0,0,0,0,0.24881811395869313
1997-03-01,40.52,3.389,12.75,183582.0,0,0,0,0.5708612558947834
1997-04-01,40.76,3.389,12.75,186939.0,0,0,0,0.5923000987166693
1997-05-01,40.98,3.389,12.25,190955.0,0,0,0,0.5397448478900779
1997-06-01,41.0,3.389,12.25,194646.0,0,0,0,0.048804294777937685
1997-07-01,40.96,3.389,12.25,195298.0,0,0,0,-0.09756097560975618
1997-08-01,41.07,3.389,12.25,197391.0,0,0,0,0.2685546875
1997-09-01,41.22,3.389,12.25,196289.0,0,0,0,0.36523009495981196
1997-10-01,41.41,3.388,12.25,198431.0,0,0,0,0.46094129063560807
1997-11-01,41.52,3.388,12.25,198822.0,0,0,0,0.26563631972955637
1997-12-01,41.63,3.388,12.25,199837.0,0,0,0,0.2649325626204124
1998-01-01,41.7,3.388,12.25,200166.0,0,0,0,0.16814797021378336
1998-02-01,41.82,3.388,12.25,200262.0,0,0,0,0.2877697841726645
1998-03-01,41.89,3.388,12.25,199672.0,0,0,0,0.16738402678144748
1998-04-01,42.22,3.388,12.25,201046.0,0,0,0,0.7877775125328279
1998-05-01,42.56,3.388,12.25,204396.0,0,0,0,0.8053055423969724
1998-06-01,42.67,3.388,12.25,207058.0,0,0,0,0.25845864661653284
1998-07-01,42.71,3.388,12.25,208666.0,0,0,0,0.09374267635340328
1998-08-01,42.86,3.388,12.25,210002.0,0,0,0,0.3512058066026613
1998-09-01,43.15,3.388,12.25,211434.0,0,0,0,0.6766215585627622
1998-10-01,43.23,3.388,12.25,212953.0,0,0,0,0.18539976825029392
1998-11-01,43.08,3.388,12.25,219338.0,0,0,0,-0.3469812630117919
1998-12-01,43.12,3.388,12.0,221372.0,0,0,0,0.09285051067779992
1999-01-01,43.3,3.388,12.0,222243.0,0,0,0,0.4174397031539989
1999-02-01,43.38,3.389,12.0,223704.0,0,0,0,0.18475750577369165
1999-03-01,43.49,3.395,12.0,225834.0,0,0,0,0.25357307514983773
1999-04-01,43.6,3.396,12.0,226512.0,0,0,0,0.2529317084387195
1999-05-01,43.75,3.396,12.0,228968.0,0,0,0,0.34403669724769603
1999-06-01,43.9,3.396,12.0,226465.0,0,0,0,0.34285714285713365
1999-07-01,43.94,3.396,12.0,226325.0,0,0,0,0.09111617312071996
1999-08-01,44.08,3.396,12.0,227336.0,0,0,0,0.318616294947649
1999-09-01,44.2,3.396,12.0,228223.0,0,0,0,0.27223230490018846
1999-10-01,44.23,3.396,12.0,229742.0,0,0,0,0.06787330316739837
1999-11-01,44.38,3.4,12.0,231707.0,0,0,0,0.3391363328058006
1999-12-01,44.49,3.405,12.0,233909.0,0,0,0,0.24785939612437247
2000-01-01,44.57,3.405,12.0,233920.0,0,0,0,0.17981568891884958
2000-02-01,44.68,3.41,12.0,235288.0,0,0,0,0.24680278214044282
2000-03-01,44.79,3.413,12.0,237930.0,0,0,0,0.24619516562220944
2000-04-01,44.87,3.415,12.0,238296.0,0,0,0,0.17861129716454371
2000-05-01,44.98,3.421,12.0,240177.0,0,0,0,0.24515266324938167
2000-06-01,45.01,3.446,12.0,245450.0,0,0,0,0.06669630947087057
