Date,CPI
01/1995,12.64
02/1995,12.80
03/1995,12.82
04/1995,12.82
05/1995,12.88
06/1995,12.87
07/1995,12.88
08/1995,13.10
09/1995,13.14
10/1995,13.26
11/1995,13.46
12/1995,13.52
01/1996,13.54
02/1996,13.61
03/1996,13.67
04/1996,13.78
05/1996,13.91
06/1996,13.94
07/1996,14.08
08/1996,14.09
09/1996,14.16
10/1996,14.18
11/1996,14.23
12/1996,14.26
01/1997,14.31
02/1997,14.35
03/1997,14.43
04/1997,14.52
05/1997,14.59
06/1997,14.60
07/1997,14.59
08/1997,14.63
09/1997,14.68
10/1997,14.75
11/1997,14.78
12/1997,14.82
01/1998,14.85
02/1998,14.89
03/1998,14.92
04/1998,15.04
05/1998,15.16
06/1998,15.20
07/1998,15.21
08/1998,15.26
09/1998,15.37
10/1998,15.39
11/1998,15.34
12/1998,15.35
01/1999,15.42
02/1999,15.45
03/1999,15.49
04/1999,15.53
05/1999,15.58
06/1999,15.63
07/1999,15.65
08/1999,15.70
09/1999,15.74
10/1999,15.75
11/1999,15.80
12/1999,15.84
01/2000,15.87
02/2000,15.91
03/2000,15.95
04/2000,15.98
05/2000,16.02
06/2000,16.03
07/2000,16.08
08/2000,16.11
09/2000,16.14
10/2000,16.15
11/2000,16.18
12/2000,16.20
01/2001,16.28
02/2001,16.28
03/2001,16.30
04/2001,16.35
05/2001,16.36
06/2001,16.39
07/2001,16.44
08/2001,16.45
09/2001,16.48
10/2001,16.52
11/2001,16.53
12/2001,16.60
01/2002,16.68
02/2002,16.71
03/2002,16.75
04/2002,16.75
05/2002,16.81
06/2002,16.84
07/2002,16.86
08/2002,16.89
09/2002,16.97
10/2002,16.98
11/2002,17.05
12/2002,17.09
01/2003,17.17
02/2003,17.22
03/2003,17.34
04/2003,17.41
05/2003,17.47
06/2003,17.51
07/2003,17.61
08/2003,17.71
09/2003,17.83
10/2003,17.96
11/2003,18.08
12/2003,18.18
01/2004,18.53
02/2004,18.91
03/2004,19.23
04/2004,19.53
05/2004,19.55
06/2004,19.56
07/2004,19.72
08/2004,19.69
09/2004,19.96
10/2004,20.22
11/2004,20.19
12/2004,20.25
01/2005,20.29
02/2005,20.22
03/2005,20.32
04/2005,20.46
05/2005,20.54
06/2005,20.49
07/2005,20.57
08/2005,20.61
09/2005,20.70
10/2005,20.84
11/2005,20.87
12/2005,20.89
01/2006,20.99
02/2006,21.02
03/2006,21.07
04/2006,21.36
05/2006,21.64
06/2006,21.98
07/2006,22.30
08/2006,22.45
09/2006,22.68
10/2006,23.30
11/2006,23.40
12/2006,23.48
01/2007,23.57
02/2007,23.66
03/2007,23.76
04/2007,23.80
05/2007,23.78
06/2007,23.83
07/2007,23.99
08/2007,24.25
09/2007,24.75
10/2007,25.01
11/2007,24.96
12/2007,25.05
01/2008,26.04
02/2008,26.52
03/2008,27.18
04/2008,27.72
05/2008,28.47
06/2008,28.64
07/2008,29.27
08/2008,29.98
09/2008,30.07
10/2008,30.05
11/2008,30.03
12/2008,29.65
01/2009,29.79
02/2009,30.10
03/2009,30.48
04/2009,30.99
05/2009,31.37
06/2009,31.49
07/2009,32.20
08/2009,33.00
09/2009,33.54
10/2009,33.98
11/2009,33.95
12/2009,33.68
01/2010,33.88
02/2010,33.95
03/2010,34.17
04/2010,34.40
05/2010,34.56
06/2010,34.71
07/2010,35.58
08/2010,36.59
09/2010,37.21
10/2010,37.72
11/2010,37.41
12/2010,37.16
01/2011,37.54
02/2011,37.58
03/2011,38.10
04/2011,38.56
05/2011,38.64
06/2011,38.80
07/2011,39.26
08/2011,39.70
09/2011,40.26
10/2011,40.40
11/2011,40.80
12/2011,40.71
01/2012,40.76
02/2012,41.04
03/2012,41.54
04/2012,41.94
05/2012,41.84
06/2012,41.61
07/2012,41.77
08/2012,42.26
09/2012,42.77
10/2012,43.11
11/2012,42.54
12/2012,42.60
01/2013,43.32
02/2013,44.41
03/2013,44.69
04/2013,45.35
05/2013,45.27
06/2013,45.67
07/2013,46.07
08/2013,46.38
09/2013,47.11
10/2013,47.61
11/2013,48.06
12/2013,47.57
01/2014,48.25
02/2014,48.74
03/2014,48.99
04/2014,49.37
05/2014,49.01
06/2014,49.42
07/2014,51.15
08/2014,51.71
09/2014,52.35
10/2014,53.24
11/2014,52.43
12/2014,52.39
01/2015,52.90
02/2015,53.89
03/2015,54.72
04/2015,54.78
05/2015,55.43
06/2015,55.04
07/2015,55.44
08/2015,55.79
09/2015,57.17
10/2015,58.41
11/2015,58.23
12/2015,58.18
01/2016,58.25
02/2016,58.81
03/2016,59.65
04/2016,60.41
05/2016,62.25
06/2016,62.73
07/2016,63.20
08/2016,64.42
09/2016,65.22
10/2016,66.33
11/2016,69.55
12/2016,71.72
01/2017,74.64
02/2017,76.60
03/2017,78.09
04/2017,79.42
05/2017,80.74
06/2017,81.41
07/2017,84.02
08/2017,84.98
09/2017,85.83
10/2017,86.77
11/2017,87.61
12/2017,87.43
01/2018,87.38
02/2018,87.63
03/2018,88.50
04/2018,89.84
05/2018,89.99
06/2018,93.11
07/2018,95.38
08/2018,97.08
09/2018,99.53
10/2018,102.11
11/2018,101.33
12/2018,97.89
01/2019,98.48
02/2019,100.20
03/2019,101.03
04/2019,101.53
05/2019,102.67
06/2019,101.85
07/2019,103.63
08/2019,104.31
09/2019,104.28
10/2019,105.32
11/2019,105.01
12/2019,104.84
01/2020,105.54
02/2020,105.53
03/2020,106.17
04/2020,107.50
05/2020,107.49
06/2020,107.58
07/2020,107.99
08/2020,107.82
09/2020,108.14
10/2020,110.08
11/2020,110.99
12/2020,110.54
01/2021,110.07
02/2021,110.23
03/2021,110.91
04/2021,111.91
05/2021,112.71
06/2021,112.91
07/2021,113.91
08/2021,113.91
09/2021,115.21
10/2021,117.01
11/2021,117.11
12/2021,117.01
01/2022,118.01
02/2022,119.91
03/2022,122.61
04/2022,126.60
05/2022,127.90
06/2022,127.70
07/2022,129.40
08/2022,130.50
09/2022,132.60
10/2022,135.99
11/2022,139.09
12/2022,141.99
01/2023,148.59
02/2023,158.28
03/2023,162.57
04/2023,165.27
05/2023,169.77
06/2023,173.37
07/2023,176.56
08/2023,179.36
09/2023,182.86
10/2023,184.76
11/2023,187.16
12/2023,189.75
01/2024,192.85
02/2024,214.73
03/2024,216.83
04/2024,219.13
05/2024,217.63
06/2024,221.03
07/2024,221.93
08/2024,226.42
09/2024,231.22
10/2024,233.9
11/2024,235.1
12/2024,235.6
