Date,US/EGP 
01/1995,3.39
02/1995,3.39
03/1995,3.39
04/1995,3.39
05/1995,3.39
06/1995,3.40
07/1995,3.39
08/1995,3.39
09/1995,3.39
10/1995,3.39
11/1995,3.39
12/1995,3.39
01/1996,3.39
02/1996,3.39
03/1996,3.39
04/1996,3.39
05/1996,3.39
06/1996,3.39
07/1996,3.39
08/1996,3.39
09/1996,3.39
10/1996,3.39
11/1996,3.39
12/1996,3.39
01/1997,3.39
02/1997,3.39
03/1997,3.39
04/1997,3.39
05/1997,3.39
06/1997,3.39
07/1997,3.39
08/1997,3.39
09/1997,3.39
10/1997,3.39
11/1997,3.39
12/1997,3.39
01/1998,3.39
02/1998,3.39
03/1998,3.39
04/1998,3.39
05/1998,3.39
06/1998,3.39
07/1998,3.39
08/1998,3.39
09/1998,3.39
10/1998,3.39
11/1998,3.39
12/1998,3.39
01/1999,3.39
02/1999,3.39
03/1999,3.40
04/1999,3.40
05/1999,3.40
06/1999,3.40
07/1999,3.40
08/1999,3.40
09/1999,3.40
10/1999,3.40
11/1999,3.40
12/1999,3.41
01/2000,3.41
02/2000,3.41
03/2000,3.41
04/2000,3.42
05/2000,3.42
06/2000,3.45
07/2000,3.46
08/2000,3.48
09/2000,3.50
10/2000,3.53
11/2000,3.69
12/2000,3.69
01/2001,3.84
02/2001,3.84
03/2001,3.84
04/2001,3.84
05/2001,3.85
06/2001,3.85
07/2001,3.85
08/2001,3.89
09/2001,4.14
10/2001,4.14
11/2001,4.14
12/2001,4.49
01/2002,4.50
02/2002,4.50
03/2002,4.50
04/2002,4.50
05/2002,4.50
06/2002,4.50
07/2002,4.50
08/2002,4.50
09/2002,4.50
10/2002,4.50
11/2002,4.50
12/2002,4.50
01/2003,5.38
02/2003,5.51
03/2003,5.73
04/2003,5.89
05/2003,5.97
06/2003,6.03
07/2003,6.14
08/2003,6.15
09/2003,6.13
10/2003,6.14
11/2003,6.13
12/2003,6.15
01/2004,6.16
02/2004,6.17
03/2004,6.17
04/2004,6.19
05/2004,6.19
06/2004,6.19
07/2004,6.20
08/2004,6.21
09/2004,6.23
10/2004,6.23
11/2004,6.23
12/2004,6.13
01/2005,5.81
02/2005,5.79
03/2005,5.79
04/2005,5.79
05/2005,5.79
06/2005,5.78
07/2005,5.76
08/2005,5.76
09/2005,5.75
10/2005,5.75
11/2005,5.75
12/2005,5.73
01/2006,5.72
02/2006,5.73
03/2006,5.74
04/2006,5.74
05/2006,5.76
06/2006,5.75
07/2006,5.74
08/2006,5.73
09/2006,5.73
10/2006,5.73
11/2006,5.71
12/2006,5.70
01/2007,5.69
02/2007,5.69
03/2007,5.69
04/2007,5.67
05/2007,5.69
06/2007,5.69
07/2007,5.64
08/2007,5.65
09/2007,5.58
10/2007,5.50
11/2007,5.52
12/2007,5.50
01/2008,5.54
02/2008,5.48
03/2008,5.44
04/2008,5.37
05/2008,5.76
06/2008,5.32
07/2008,5.30
08/2008,5.36
09/2008,5.45
10/2008,5.56
11/2008,5.51
12/2008,5.50
01/2009,5.54
02/2009,5.59
03/2009,5.63
04/2009,5.62
05/2009,5.61
06/2009,5.59
07/2009,5.54
08/2009,5.52
09/2009,5.49
10/2009,5.46
11/2009,5.46
12/2009,5.48
01/2010,5.46
