Date ,Value in M
01/1995,"148,530"
02/1995,"149,787"
03/1995,"150,220"
04/1995,"151,514"
05/1995,"153,853"
06/1995,"156,080"
07/1995,"157,229"
08/1995,"158,089"
09/1995,"159,705"
10/1995,"160,896"
11/1995,"161,602"
12/1995,"162,766"
01/1996,"163,166"
02/1996,"165,125"
03/1996,"165,418"
04/1996,"167,246"
05/1996,"169,290"
06/1996,"171,333"
07/1996,"173,787"
08/1996,"174,824"
09/1996,"174,893"
10/1996,"177,482"
11/1996,"178,641"
12/1996,"180,404"
01/1997,"181,575"
02/1997,"182,842"
03/1997,"183,582"
04/1997,"186,939"
05/1997,"190,955"
06/1997,"194,646"
07/1997,"195,298"
08/1997,"197,391"
09/1997,"196,289"
10/1997,"198,431"
11/1997,"198,822"
12/1997,"199,837"
01/1998,"200,166"
02/1998,"200,262"
03/1998,"199,672"
04/1998,"201,046"
05/1998,"204,396"
06/1998,"207,058"
07/1998,"208,666"
08/1998,"210,002"
09/1998,"211,434"
10/1998,"212,953"
11/1998,"219,338"
12/1998,"221,372"
01/1999,"222,243"
02/1999,"223,704"
03/1999,"225,834"
04/1999,"226,512"
05/1999,"228,968"
06/1999,"226,465"
07/1999,"226,325"
08/1999,"227,336"
09/1999,"228,223"
10/1999,"229,742"
11/1999,"231,707"
12/1999,"233,909"
01/2000,"233,920"
02/2000,"235,288"
03/2000,"237,930"
04/2000,"238,296"
05/2000,"240,177"
06/2000,"245,450"
07/2000,"247,112"
08/2000,"250,055"
09/2000,"252,055"
10/2000,"255,857"
11/2000,"258,190"
12/2000,"260,999"
01/2001,"261,320"
02/2001,"262,312"
03/2001,"262,223"
04/2001,"263,352"
05/2001,"267,479"
06/2001,"274,610"
07/2001,"276,383"
08/2001,"282,066"
09/2001,"286,062"
10/2001,"286,391"
11/2001,"287,619"
12/2001,"295,491"
01/2002,"297,038"
02/2002,"299,946"
03/2002,"302,236"
04/2002,"304,606"
05/2002,"310,038"
06/2002,"317,697"
07/2002,"317,923"
08/2002,"303,758"
09/2002,"308,124"
10/2002,"308,993"
11/2002,"331,101"
12/2002,"332,813"
01/2003,"348,187"
02/2003,"353,996"
03/2003,"357,819"
04/2003,"360,660"
05/2003,"367,208"
06/2003,"375,978"
07/2003,"382,889"
08/2003,"388,641"
09/2003,"392,385"
10/2003,"396,180"
11/2003,"401,330"
12/2003,"403,634"
01/2004,"416,901"
02/2004,"419,546"
03/2004,"420,777"
04/2004,"423,576"
05/2004,"432,850"
06/2004,"435,823"
07/2004,"441,970"
08/2004,"447,775"
09/2004,"451,550"
10/2004,"459,025"
11/2004,"465,101"
12/2004,"468,959"
01/2005,"470,126"
02/2005,"474,666"
03/2005,"479,766"
04/2005,"484,904"
05/2005,"490,717"
06/2005,"494,633"
07/2005,"506,499"
08/2005,"513,361"
09/2005,"515,788"
10/2005,"517,334"
11/2005,"519,448"
12/2005,"522,857"
01/2006,"529,364"
02/2006,"534,965"
03/2006,"535,303"
04/2006,"546,676"
05/2006,"551,889"
06/2006,"561,160"
07/2006,"567,025"
08/2006,"575,333"
09/2006,"582,989"
10/2006,"589,560"
11/2006,"587,949"
12/2006,"601,309"
01/2007,"596,701"
02/2007,"604,684"
03/2007,"610,452"
04/2007,"619,982"
05/2007,"650,678"
06/2007,"663,767"
07/2007,"672,041"
08/2007,"677,919"
09/2007,"681,900"
10/2007,"689,933"
11/2007,"704,631"
12/2007,"716,275"
01/2008,"724,715"
02/2008,"738,454"
03/2008,"756,553"
04/2008,"760,927"
05/2008,"762,181"
06/2008,"766,664"
07/2008,"775,261"
08/2008,"781,199"
09/2008,"777,871"
10/2008,"780,543"
11/2008,"784,800"
12/2008,"791,378"
01/2009,"793,354"
02/2009,"799,754"
03/2009,"808,603"
04/2009,"812,410"
05/2009,"826,847"
06/2009,"831,211"
07/2009,"835,457"
08/2009,"836,503"
09/2009,"847,808"
10/2009,"847,757"
11/2009,"854,057"
12/2009,"866,354"
01/2010,"867,734"
02/2010,"875,586"
03/2010,"888,176"
04/2010,"890,376"
05/2010,"896,033"
06/2010,"917,459"
07/2010,"922,637"
08/2010,"935,234"
09/2010,"948,172"
10/2010,"961,244"
11/2010,"963,255"
12/2010,"973,962"
01/2011,"969,712"
02/2011,"982,547"
03/2011,"988,076"
04/2011,"986,792"
05/2011,"994,431"
06/2011,"1,009,411"
07/2011,"1,018,926"
08/2011,"1,024,359"
09/2011,"1,024,430"
10/2011,"1,030,934"
11/2011,"1,031,696"
12/2011,"1,038,871"
01/2012,"1,043,877"
02/2012,"1,050,128"
03/2012,"1,054,996"
04/2012,"1,058,770"
05/2012,"1,067,581"
06/2012,"1,094,408"
07/2012,"1,101,874"
08/2012,"1,115,267"
09/2012,"1,124,332"
10/2012,"1,144,653"
11/2012,"1,147,497"
12/2012,"1,167,160"
01/2013,"1,198,095"
02/2013,"1,211,317"
03/2013,"1,236,938"
04/2013,"1,252,861"
05/2013,"1,268,513"
06/2013,"1,296,086"
07/2013,"1,316,054"
08/2013,"1,329,492"
09/2013,"1,334,967"
10/2013,"1,348,484"
11/2013,"1,360,134"
12/2013,"1,387,688"
01/2014,"1,398,255"
02/2014,"1,417,624"
03/2014,"1,438,421"
04/2014,"1,459,568"
05/2014,"1,484,420"
06/2014,"1,516,601"
07/2014,"1,545,031"
08/2014,"1,557,379"
09/2014,"1,543,756"
